DIRECTORIO;P424;P4030;P4030S1;P4030S1A1;P4030S5;P4030S3;P4030S4;P4030S4A1;P4030S2;DIA_REF;REGION;CLASE;F_EXP
1000175;1; ;1;1;1;1;1;3;1;2;1;1;193,3545625
1000176;1; ;1;1;1;1;1;3;1;3;2;1;79,24086747
1000177;1; ;1;1;1;1;1;3;1;3;2;1;82,36636536
1000178;2; ;1;1;1;2;1;3;1;2;1;1;95,09471743
1000179;1; ;1;1;1;2;1;3;1;2;1;1;296,1706764
1000180;1; ;1;2;1;1;1;7;1;2;2;1;232,8925742
1000181;3; ;1;2;1;1;1;3;2;2;4;1;400,7346296
1000182;2; ;1;1;1;1;1;2;1;2;2;1;277,9574302
1000183;2; ;1;1;1;1;1;2;1;2;2;1;503,5899548
1000184;2; ;1;3;1;1;1;2;1;2;2;1;380,0182527
1000185;1; ;1;1;1;2;1;3;1;2;2;1;124,0015882
1000188;2; ;1;4;1;1;1;7;1;2;5;1;376,5030472
1000189;1; ;1;1;1;2;1;3;2;2;1;1;236,7371592
1000190;2; ;1;1;1;1;1;2;1;2;2;1;396,7429691
1000191;2; ;1;2;1;1;1;3;1;2;5;1;347,1503766
1000192;1; ;1;2;1;1;1;3;1;2;5;1;272,7221938
1000193;1; ;1;5;1;1;1;3;1;2;1;1;172,4459874
1000194;1; ;1;5;1;1;1;3;1;2;1;1;194,4428379
1000195;1; ;1;2;1;1;1;2;2;2;2;2;1841,240489
1000196;3; ;1;2;1;1;1;3;1;2;4;1;400,7346296
1000198;1; ;1;2;1;1;1;2;1;2;2;1;231,314382
1000199;2; ;1;2;1;1;1;3;2;2;4;1;384,6377045
1000200;1; ;1;1;1;1;1;2;2;2;3;1;401,209997
1000201;1; ;1;5;1;1;1;3;1;2;1;1;180,8004014
1000202;2; ;1;1;1;1;1;3;1;2;2;1;108,689412
1000203;2; ;1;2;1;1;1;2;1;2;5;1;354,0935085
1000204;1; ;1;3;1;1;1;3;1;2;1;1;86,6118786
1000205;2; ;1;2;1;1;1;3;1;2;4;1;472,3667869
1000206;2; ;1;3;1;1;1;7;1;2;5;1;416,1976436
1000207;2; ;1;3;1;1;1;3;1;2;5;1;309,4605842
1000208;2; ;1;2;1;1;1;3;1;2;5;1;360,433879
1000209;2; ;1;2;1;1;1;3;1;2;5;1;354,0935085
1000210;2; ;1;2;1;1;1;2;1;2;2;1;397,2185555
1000211;2; ;1;2;1;1;1;3;1;2;5;1;393,7881048
